 n, insertion_cmp, insertion_swaps, insertion_time, quick_cmp, quick_swaps, quick_time, merge_cmp, merge_swaps, merge_time, selection_cmp, selection_swaps, selection_time
 0,             0,               0,              1,         1,           0,          1,         1,           0,          1,             0,               0,              1
 1,             0,               0,              0,         1,           0,          1,         1,           0,          1,             0,               0,              1
 2,             2,               0,              1,        11,           2,          3,         9,           0,          3,             1,               0,              1
 3,             4,               0,              1,        13,           2,          3,        18,           0,          4,             3,               0,              1
 4,             6,               0,              1,        25,           4,          4,        28,           0,          6,             6,               0,              2
 5,             8,               0,              1,        37,           6,          5,        38,           0,          8,            10,               0,              2
 6,            12,               1,              2,        49,           8,         24,        51,           0,         12,            15,               1,              3
 7,            20,               4,              2,        55,           8,          8,        62,           0,         10,            21,               3,              4
 8,            22,               4,              3,        74,          11,          8,        76,           0,         17,            28,               3,              4
 9,            24,               4,              3,        90,          13,          9,        87,           0,         10,            36,               3,              4
10,            26,               4,              4,       103,          15,          9,        99,           0,         11,            45,               3,              4
